"";"formaal";"reisetid";"reisemiddel";"ind";"NR";"dato";"arbeidsplass";"student";"fastoppmoete";"hjemmekontor";"arbeidstid";"yrke";"kjoenn";"alder";"alderskategori";"barn";"voksne";"totmedlem";"husholdning";"Kommunenavn";"fylke";"day";"hverdag";"antall_reiser";"tottid";"tellekategori";"annerledes_janei";"mindrekollektiv";"annettidspunkt";"mer_bil";"mer_sykkelgange";"monthyear";"tidskategori";"ID";"car_driver_boo"
"4724";"Freetime activities";30;"Car, passenger";"delreise 2.3";8137380;"2020-06-12";NA;"Not student";NA;NA;NA;NA;"Them";NA;NA;1;0;1;"Single w/o children";NA;NA;"Fri";"Weekday";7;149;"7+ trips";NA;NA;NA;NA;NA;"Jun'20";"15 - 30 min";8137380;0
"4725";"Shopping/grocery/service";30;"Car, driver";"delreise 2.3";8139693;"2020-06-13";NA;"Not student";NA;NA;NA;"Care work, unemployment";"Female";49;"45 - 54";1;1;2;"Single w/ children 0-17 y/o";"TRONDHEIM";"TROENDELAG";"Sat";"Weekend";9;183;"7+ trips";NA;NA;NA;NA;NA;"Jun'20";"15 - 30 min";8139693;1
"4726";"Shopping/grocery/service";20;"By foot";"delreise 2.3";8181346;"2020-06-16";NA;"Not student";NA;NA;NA;"Pensioner";"Female";80;"75 +";0;2;2;"Couple w/o children";"TRONDHEIM";"TROENDELAG";"Tue";"Weekday";8;126;"7+ trips";NA;NA;NA;NA;NA;"Jun'20";"15 - 30 min";8181346;0
"4727";"Pick up/drop off trip";15;"Car, driver";"delreise 2.3";8211352;"2020-06-20";NA;"Not student";NA;NA;NA;NA;"Them";NA;NA;1;0;1;"Single w/o children";NA;NA;"Sat";"Weekend";7;80;"7+ trips";NA;NA;NA;NA;NA;"Jun'20";"10 - 15 min";8211352;1
"4728";"Shopping/grocery/service";5;"Car, driver";"delreise 2.3";8332067;"2020-06-29";"Office job, research, administration";"Not student";"Ja";"Work from home";"Standard Business Day";"Full-time";"Male";51;"45 - 54";0;2;2;"Couple w/o children";"STEINKJER";"TROENDELAG";"Mon";"Weekday";8;90;"7+ trips";NA;NA;NA;NA;NA;"Jun'20";"< 5 min";8332067;1
"4729";"Shopping/grocery/service";1;"Car, driver";"delreise 2.4";10293930;"2020-11-04";"Office job, research, administration";"Not student";NA;NA;"Flextime";"Full-time";"Female";35;"35 - 44";2;1;3;"Single w/ children 0-17 y/o";"DOENNA";"NORDLAND";"Wed";"Weekday";6;23;"5-6 trips";"Ja";0;0;0;0;"Nov'20";"< 5 min";10293930;1
"4730";"Freetime activities";10;"By foot";"delreise 2.4";15311028;"2021-08-19";NA;"Student";NA;NA;NA;"Student, higher education";"Female";20;"18 - 24";0;5;5;"Several adults";"TRONDHEIM";"TROENDELAG";"Thu";"Weekday";8;141;"7+ trips";"Ja";1;0;1;1;"Aug'21";"5 - 10 min";15311028;0
"4731";"Shopping/grocery/service";7;"Car, driver";"delreise 2.4";10611887;"2020-11-12";NA;"Not student";NA;NA;NA;"Care work, unemployment";"Female";46;"45 - 54";2;2;4;"Couple w/ children 0-17 y/o";"MOLDE";"MOERE OG ROMSDAL";"Thu";"Weekday";9;110;"7+ trips";"Ja";0;0;0;0;"Nov'20";"5 - 10 min";10611887;1
"4732";"Pick up/drop off trip";5;"Car, driver";"delreise 2.4";10782614;"2020-11-16";"Office job, research, administration";"Not student";NA;NA;"Standard Business Day";"Full-time";"Female";46;"45 - 54";2;2;4;"Couple w/ children 0-17 y/o";"TRONDHEIM";"TROENDELAG";"Mon";"Weekday";9;106;"7+ trips";"Nei";0;0;0;0;"Nov'20";"< 5 min";10782614;1
"4733";"Pick up/drop off trip";1;"Car, driver";"delreise 2.4";15812861;"2021-09-12";"Industry, agriculture, craftmanship";"Not student";"Ja";"Go to work as usual";"Shift work, rotating shifts";"Full-time";"Male";42;"35 - 44";1;1;2;"Single w/ children 0-17 y/o";"TRONDHEIM";"TROENDELAG";"Sun";"Weekend";9;73;"7+ trips";"Nei";0;0;0;0;"Sep'21";"< 5 min";15812861;1
"4734";"Freetime activities";15;"Car, driver";"delreise 2.4";15913776;"2021-09-16";"Office job, research, administration";"Not student";"Ja";"Go to work as usual";"Standard Business Day";"Full-time";"Male";45;"45 - 54";4;3;8;"Couple w/ children 0-17 y/o";"TRONDHEIM";"TROENDELAG";"Thu";"Weekday";7;82;"7+ trips";"Nei";0;0;0;0;"Sep'21";"10 - 15 min";15913776;1
"4735";"Pick up/drop off trip";30;"Car, driver";"delreise 2.4";8139693;"2020-06-13";NA;"Not student";NA;NA;NA;"Care work, unemployment";"Female";49;"45 - 54";1;1;2;"Single w/ children 0-17 y/o";"TRONDHEIM";"TROENDELAG";"Sat";"Weekend";9;183;"7+ trips";NA;NA;NA;NA;NA;"Jun'20";"15 - 30 min";8139693;1
"4736";"Shopping/grocery/service";10;"Car, driver";"delreise 2.4";8211352;"2020-06-20";NA;"Not student";NA;NA;NA;NA;"Them";NA;NA;1;0;1;"Single w/o children";NA;NA;"Sat";"Weekend";7;80;"7+ trips";NA;NA;NA;NA;NA;"Jun'20";"5 - 10 min";8211352;1
"4737";"Shopping/grocery/service";15;"Car, driver";"delreise 2.4";8332067;"2020-06-29";"Office job, research, administration";"Not student";"Ja";"Work from home";"Standard Business Day";"Full-time";"Male";51;"45 - 54";0;2;2;"Couple w/o children";"STEINKJER";"TROENDELAG";"Mon";"Weekday";8;90;"7+ trips";NA;NA;NA;NA;NA;"Jun'20";"10 - 15 min";8332067;1
"4738";"Pick up/drop off trip";20;"Car, driver";"delreise 2.5";10611887;"2020-11-12";NA;"Not student";NA;NA;NA;"Care work, unemployment";"Female";46;"45 - 54";2;2;4;"Couple w/ children 0-17 y/o";"MOLDE";"MOERE OG ROMSDAL";"Thu";"Weekday";9;110;"7+ trips";"Ja";0;0;0;0;"Nov'20";"15 - 30 min";10611887;1
"4739";"Pick up/drop off trip";15;"Car, driver";"delreise 2.5";10782614;"2020-11-16";"Office job, research, administration";"Not student";NA;NA;"Standard Business Day";"Full-time";"Female";46;"45 - 54";2;2;4;"Couple w/ children 0-17 y/o";"TRONDHEIM";"TROENDELAG";"Mon";"Weekday";9;106;"7+ trips";"Nei";0;0;0;0;"Nov'20";"10 - 15 min";10782614;1
"4740";"Shopping/grocery/service";5;"Car, passenger";"delreise 3.1";10014914;"2020-10-21";"Office job, research, administration";"Not student";NA;NA;"Standard Business Day";"Full-time";"Female";56;"55 - 66";0;2;2;"Couple w/o children";"TRONDHEIM";"TROENDELAG";"Wed";"Weekday";5;93;"5-6 trips";"Nei";0;0;0;0;"Oct'20";"< 5 min";10014914;0
"4741";"Business trip / temporary accomodation";10;"Car, driver";"delreise 3.1";10016049;"2020-10-21";"Industry, agriculture, craftmanship";"Not student";NA;NA;"Flextime";"Full-time";"Female";27;"25 - 34";0;3;3;"Several adults";"TRONDHEIM";"TROENDELAG";"Wed";"Weekday";5;140;"5-6 trips";"Ja";1;0;1;1;"Oct'20";"5 - 10 min";10016049;1
"4742";"Undirected round trips";60;"By foot";"delreise 3.1";10019592;"2020-10-22";"Office job, research, administration";"Not student";NA;NA;"Flextime";"Full-time";"Female";38;"35 - 44";3;2;5;"Couple w/ children 0-17 y/o";"TRONDHEIM";"TROENDELAG";"Thu";"Weekday";6;122;"5-6 trips";"Ja";1;0;1;0;"Oct'20";"30 - 60 min";10019592;0
"4743";"Pick up/drop off trip";11;"Car, driver";"delreise 3.1";10020002;"2020-10-22";"Office job, research, administration";"Not student";NA;NA;"Flextime";"Full-time";"Female";40;"35 - 44";2;2;4;"Couple w/ children 0-17 y/o";"TRONDHEIM";"TROENDELAG";"Thu";"Weekday";9;85;"7+ trips";"Nei";0;0;0;0;"Oct'20";"10 - 15 min";10020002;1
"4744";"Freetime activities";150;"Car, driver";"delreise 3.1";10020010;"2020-10-22";"Office job, research, administration";"Not student";NA;NA;"Flextime";"Full-time";"Male";61;"55 - 66";0;2;2;"Couple w/o children";"TRONDHEIM";"TROENDELAG";"Thu";"Weekday";3;170;"3-4 trips";"Nei";0;0;0;0;"Oct'20";"> 2 hours";10020010;1
"4745";"Pick up/drop off trip";10;"Car, driver";"delreise 3.1";10020648;"2020-10-21";"Office job, research, administration";"Not student";NA;NA;"Flextime";"Full-time";"Female";39;"35 - 44";3;3;6;"Couple w/ children 0-17 y/o";"TRONDHEIM";"TROENDELAG";"Wed";"Weekday";4;50;"3-4 trips";"Nei";0;0;0;0;"Oct'20";"5 - 10 min";10020648;1
"4746";"Freetime activities";10;"Car, driver";"delreise 3.1";10020859;"2020-10-22";"Office job, research, administration";"Not student";NA;NA;"Flextime";"Full-time";"Female";40;"35 - 44";2;2;4;"Couple w/ children 0-17 y/o";"TRONDHEIM";"TROENDELAG";"Thu";"Weekday";4;50;"3-4 trips";"Nei";0;0;0;0;"Oct'20";"5 - 10 min";10020859;1
"4747";"Business trip / temporary accomodation";10;"Public transportation";"delreise 3.1";10021050;"2020-10-22";"Office job, research, administration";"Not student";NA;NA;"Standard Business Day";"Full-time";"Female";30;"25 - 34";1;1;2;"Single w/ children 0-17 y/o";"TRONDHEIM";"TROENDELAG";"Thu";"Weekday";6;75;"5-6 trips";"Nei";0;0;0;0;"Oct'20";"5 - 10 min";10021050;0
"4748";"Business trip / temporary accomodation";18;"Public transportation";"delreise 3.1";10021256;"2020-10-22";"Office job, research, administration";"Not student";NA;NA;"Flextime";"Full-time";"Male";38;"35 - 44";2;2;4;"Couple w/ children 0-17 y/o";"TRONDHEIM";"TROENDELAG";"Thu";"Weekday";7;45;"7+ trips";"Ja";1;0;1;0;"Oct'20";"15 - 30 min";10021256;0
"4749";"Pick up/drop off trip";12;"Car, driver";"delreise 3.1";10025592;"2020-10-22";"Office job, research, administration";"Not student";NA;NA;"Standard Business Day";"Full-time";"Female";38;"35 - 44";3;3;6;"Couple w/ children 0-17 y/o";"TRONDHEIM";"TROENDELAG";"Thu";"Weekday";10;110;"7+ trips";"Ja";1;0;1;1;"Oct'20";"10 - 15 min";10025592;1
"4750";"Freetime activities";47;"Pedal bike";"delreise 3.1";10042081;"2020-10-22";"Office job, research, administration";"Not student";NA;NA;"Flextime";"Full-time";"Female";26;"25 - 34";0;1;1;"Single w/o children";"OSLO";"OSLO";"Thu";"Weekday";3;87;"3-4 trips";"Ja";1;0;0;1;"Oct'20";"30 - 60 min";10042081;0
"4751";"Shopping/grocery/service";5;"Car, driver";"delreise 3.1";10048058;"2020-10-23";NA;"Student";NA;NA;NA;"Student, higher education";"Female";55;"55 - 66";0;2;2;"Several adults";"TRONDHEIM";"TROENDELAG";"Fri";"Weekday";5;55;"5-6 trips";"Ja";0;0;0;0;"Oct'20";"< 5 min";10048058;1
"4752";"Pick up/drop off trip";15;"Car, driver";"delreise 3.1";10069884;"2020-10-26";"Office job, research, administration";"Not student";NA;NA;"Standard Business Day";"Full-time";"Male";41;"35 - 44";1;2;3;"Couple w/ children 0-17 y/o";"TRONDHEIM";"TROENDELAG";"Mon";"Weekday";4;40;"3-4 trips";"Nei";0;0;0;0;"Oct'20";"10 - 15 min";10069884;1
"4753";"Shopping/grocery/service";5;"By foot";"delreise 3.1";10157511;"2020-10-27";"Office job, research, administration";"Not student";NA;NA;"Standard Business Day";"Full-time";"Male";32;"25 - 34";0;2;2;"Couple w/o children";"OSLO";"OSLO";"Tue";"Weekday";6;40;"5-6 trips";"Nei";0;0;0;0;"Oct'20";"< 5 min";10157511;0
"4754";"Pick up/drop off trip";20;"Car, driver";"delreise 3.1";10159249;"2020-10-27";"Office job, research, administration";"Not student";NA;NA;"Standard Business Day";"Full-time";"Female";45;"45 - 54";2;1;3;"Single w/ children 0-17 y/o";"SANDEFJORD";"VESTFOLD OG TELEMARK";"Tue";"Weekday";6;110;"5-6 trips";"Nei";0;0;0;0;"Oct'20";"15 - 30 min";10159249;1
"4755";"Shopping/grocery/service";15;"Car, passenger";"delreise 3.1";10168737;"2020-10-28";"Other";"Not student";NA;NA;"Flextime";"Full-time";"Male";61;"55 - 66";0;4;4;"Several adults";"TRONDHEIM";"TROENDELAG";"Wed";"Weekday";4;70;"3-4 trips";"Nei";0;0;0;0;"Oct'20";"10 - 15 min";10168737;0
"4756";"Shopping/grocery/service";3;"By foot";"delreise 3.1";10170420;"2020-10-28";NA;"Student";NA;NA;NA;"Student, higher education";"Female";20;"18 - 24";0;2;2;"Couple w/o children";"TRONDHEIM";"TROENDELAG";"Wed";"Weekday";6;50;"5-6 trips";"Ja";0;0;0;0;"Oct'20";"< 5 min";10170420;0
"4757";"Pick up/drop off trip";7;"Car, driver";"delreise 3.1";10171255;"2020-10-28";"Office job, research, administration";"Not student";NA;NA;"Flextime";"Full-time";"Female";47;"45 - 54";3;2;5;"Couple w/ children 0-17 y/o";"OES";"VIKEN";"Wed";"Weekday";6;44;"5-6 trips";"Nei";0;0;0;0;"Oct'20";"5 - 10 min";10171255;1
"4758";"Freetime activities";15;"By foot";"delreise 3.1";10174775;"2020-10-28";NA;"Student";NA;NA;NA;"Student, higher education";"Female";20;"18 - 24";0;4;4;"Several adults";"TRONDHEIM";"TROENDELAG";"Wed";"Weekday";3;45;"3-4 trips";"Nei";0;0;0;0;"Oct'20";"10 - 15 min";10174775;0
"4759";"Shopping/grocery/service";4;"By foot";"delreise 3.1";10175575;"2020-10-28";NA;"Student";NA;NA;NA;"Student, higher education";"Male";20;"18 - 24";0;2;2;"Several adults";"TRONDHEIM";"TROENDELAG";"Wed";"Weekday";6;82;"5-6 trips";"Ja";0;0;0;0;"Oct'20";"< 5 min";10175575;0
"4760";"To/from workplace";20;"Public transportation";"delreise 3.1";10176913;"2020-10-28";NA;"Student";NA;NA;NA;"Student, higher education";"Female";24;"18 - 24";3;4;7;"Several adults";"TRONDHEIM";"TROENDELAG";"Wed";"Weekday";5;75;"5-6 trips";"Nei";0;0;0;0;"Oct'20";"15 - 30 min";10176913;0
"4761";"Freetime activities";20;"By foot";"delreise 3.1";10202064;"2020-10-29";NA;"Student";NA;NA;NA;"Student, higher education";"Male";22;"18 - 24";0;3;3;"Several adults";"TRONDHEIM";"TROENDELAG";"Thu";"Weekday";6;76;"5-6 trips";"Nei";0;0;0;0;"Oct'20";"15 - 30 min";10202064;0
"4762";"Freetime activities";15;"By foot";"delreise 3.1";10210196;"2020-10-29";NA;"Student";NA;NA;NA;"Student, higher education";"Female";19;"18 - 24";0;4;4;"Several adults";"TRONDHEIM";"TROENDELAG";"Thu";"Weekday";7;68;"7+ trips";"Ja";1;0;0;0;"Oct'20";"10 - 15 min";10210196;0
"4763";"Undirected round trips";10;"By foot";"delreise 3.1";10212528;"2020-10-29";NA;"Student";NA;NA;NA;"Student, higher education";"Female";24;"18 - 24";0;4;4;"Several adults";"TRONDHEIM";"TROENDELAG";"Thu";"Weekday";6;58;"5-6 trips";"Ja";0;0;0;0;"Oct'20";"5 - 10 min";10212528;0
"4764";"Freetime activities";10;"Public transportation";"delreise 3.1";10227041;"2020-10-30";NA;"Student";NA;NA;NA;"Student, higher education";"Female";20;"18 - 24";0;2;2;"Couple w/o children";"TRONDHEIM";"TROENDELAG";"Fri";"Weekday";6;135;"5-6 trips";"Nei";0;0;0;0;"Oct'20";"5 - 10 min";10227041;0
"4765";"Shopping/grocery/service";20;"Car, passenger";"delreise 3.1";10242000;"2020-11-01";NA;"Student";NA;NA;NA;"Student, higher education";"Female";24;"18 - 24";0;2;2;"Couple w/o children";"TRONDHEIM";"TROENDELAG";"Sun";"Weekend";4;100;"3-4 trips";"Nei";0;0;0;0;"Nov'20";"15 - 30 min";10242000;0
"4766";"Freetime activities";25;"Public transportation";"delreise 3.1";10252705;"2020-11-01";NA;"Student";NA;NA;NA;"Student, higher education";"Female";21;"18 - 24";0;2;2;"Couple w/o children";"TRONDHEIM";"TROENDELAG";"Sun";"Weekend";4;70;"3-4 trips";"Ja";1;0;1;1;"Nov'20";"15 - 30 min";10252705;0
"4767";"Freetime activities";15;"By foot";"delreise 3.1";10257299;"2020-11-03";"Office job, research, administration";"Not student";NA;NA;"Flextime";"Full-time";"Female";32;"25 - 34";1;2;3;"Couple w/ children 0-17 y/o";"TRONDHEIM";"TROENDELAG";"Tue";"Weekday";8;63;"7+ trips";"Ja";1;1;0;0;"Nov'20";"10 - 15 min";10257299;0
"4768";"Shopping/grocery/service";10;"By foot";"delreise 3.1";10264425;"2020-11-02";NA;"Student";NA;NA;NA;"Student, higher education";"Female";23;"18 - 24";0;2;2;"Several adults";"TRONDHEIM";"TROENDELAG";"Mon";"Weekday";5;55;"5-6 trips";"Nei";0;0;0;0;"Nov'20";"5 - 10 min";10264425;0
"4769";"Freetime activities";10;"Public transportation";"delreise 3.1";10266236;"2020-11-02";NA;"Student";NA;NA;NA;"Student, higher education";"Female";21;"18 - 24";0;2;2;"Couple w/o children";"TRONDHEIM";"TROENDELAG";"Mon";"Weekday";6;117;"5-6 trips";"Ja";0;0;0;0;"Nov'20";"5 - 10 min";10266236;0
"4770";"Shopping/grocery/service";5;"Pedal bike";"delreise 3.1";10274703;"2020-11-02";NA;"Student";NA;NA;NA;"Student, higher education";"Female";23;"18 - 24";0;4;4;"Several adults";"TRONDHEIM";"TROENDELAG";"Mon";"Weekday";6;59;"5-6 trips";"Nei";0;0;0;0;"Nov'20";"< 5 min";10274703;0
"4771";"Undirected round trips";20;"By foot";"delreise 3.1";10278618;"2020-11-02";"Office job, research, administration";"Not student";NA;NA;"Standard Business Day";"Full-time";"Female";48;"45 - 54";1;2;3;"Couple w/ children 0-17 y/o";"BODOE";"NORDLAND";"Mon";"Weekday";4;120;"3-4 trips";"Nei";0;0;0;0;"Nov'20";"15 - 30 min";10278618;0
"4772";"Freetime activities";20;"Car, driver";"delreise 3.1";10279314;"2020-11-02";"Healthcare";"Not student";NA;NA;"Standard Business Day";"Full-time";"Female";32;"25 - 34";2;2;4;"Couple w/ children 0-17 y/o";"STANGE";"INNLANDET";"Mon";"Weekday";6;90;"5-6 trips";"Ja";0;0;0;0;"Nov'20";"15 - 30 min";10279314;1
"4773";"Undirected round trips";30;"By foot";"delreise 3.1";10279360;"2020-11-02";"Healthcare";"Not student";NA;NA;"Standard Business Day";"Full-time";"Female";49;"45 - 54";2;3;5;"Couple w/ children 0-17 y/o";"BODOE";"NORDLAND";"Mon";"Weekday";4;114;"3-4 trips";"Nei";0;0;0;0;"Nov'20";"15 - 30 min";10279360;0
"4774";"Pick up/drop off trip";5;"Car, driver";"delreise 3.1";10279813;"2020-11-02";"Office job, research, administration";"Not student";NA;NA;"Standard Business Day";"Full-time";"Female";52;"45 - 54";3;3;6;"Couple w/ children 0-17 y/o";"BODOE";"NORDLAND";"Mon";"Weekday";7;30;"7+ trips";"Nei";0;0;0;0;"Nov'20";"< 5 min";10279813;1
"4775";"Freetime activities";10;"Car, driver";"delreise 3.1";10281058;"2020-11-03";NA;"Not student";NA;NA;NA;"Care work, unemployment";"Female";51;"45 - 54";2;4;6;"Couple w/ children 0-17 y/o";"ASKER";"VIKEN";"Tue";"Weekday";8;140;"7+ trips";"Nei";0;0;0;0;"Nov'20";"5 - 10 min";10281058;1
"4776";"Shopping/grocery/service";5;"Car, driver";"delreise 3.1";10286662;"2020-11-03";NA;"Student";NA;NA;NA;"Student, higher education";"Male";24;"18 - 24";0;2;2;"Several adults";"TROMSOE";"TROMS OG FINNMARK";"Tue";"Weekday";6;50;"5-6 trips";"Nei";0;0;0;0;"Nov'20";"< 5 min";10286662;1
"4777";"Undirected round trips";30;"By foot";"delreise 3.1";10288125;"2020-11-03";NA;"Not student";NA;NA;NA;"Pensioner";"Male";44;"35 - 44";0;1;1;"Single w/o children";"BODOE";"NORDLAND";"Tue";"Weekday";4;110;"3-4 trips";"Ja";1;0;1;0;"Nov'20";"15 - 30 min";10288125;0
"4778";"Shopping/grocery/service";12;"By foot";"delreise 3.1";10288807;"2020-11-03";"Office job, research, administration";"Not student";NA;NA;"Different schedule";"Full-time";"Female";30;"25 - 34";0;2;2;"Couple w/o children";"TRONDHEIM";"TROENDELAG";"Tue";"Weekday";6;75;"5-6 trips";"Nei";0;0;0;0;"Nov'20";"10 - 15 min";10288807;0
"4779";"Shopping/grocery/service";1;"Car, driver";"delreise 3.1";10303312;"2020-11-04";"Education and kindergarten";"Not student";NA;NA;"Standard Business Day";"Full-time";"Male";48;"45 - 54";3;2;5;"Couple w/ children 0-17 y/o";"DOENNA";"NORDLAND";"Wed";"Weekday";9;34;"7+ trips";"Ja";0;0;0;0;"Nov'20";"< 5 min";10303312;1
"4780";"Shopping/grocery/service";6;"Car, driver";"delreise 3.1";10323884;"2020-11-07";"Office job, research, administration";"Not student";NA;NA;"Flextime";"Full-time";"Female";49;"45 - 54";2;2;4;"Couple w/ children 0-17 y/o";"HAMAR";"INNLANDET";"Sat";"Weekend";6;36;"5-6 trips";"Ja";0;0;0;0;"Nov'20";"5 - 10 min";10323884;1
"4781";"Freetime activities";15;"By foot";"delreise 3.1";10331514;"2020-11-08";NA;"Student";NA;NA;NA;"Student, higher education";"Female";22;"18 - 24";0;3;3;"Several adults";"TRONDHEIM";"TROENDELAG";"Sun";"Weekend";5;120;"5-6 trips";"Nei";0;0;0;0;"Nov'20";"10 - 15 min";10331514;0
"4782";"Freetime activities";18;"Pedal bike";"delreise 3.1";10564536;"2020-11-10";"Healthcare";"Not student";NA;NA;"Standard Business Day";"Full-time";"Female";44;"35 - 44";3;2;5;"Couple w/ children 0-17 y/o";"TRONDHEIM";"TROENDELAG";"Tue";"Weekday";7;82;"7+ trips";"Ja";1;0;1;1;"Nov'20";"15 - 30 min";10564536;0
"4783";"School/university";15;"Public transportation";"delreise 3.1";10624949;"2020-11-12";NA;"Student";NA;NA;NA;"Student, higher education";"Female";19;"18 - 24";0;2;2;"Several adults";"TRONDHEIM";"TROENDELAG";"Thu";"Weekday";6;59;"5-6 trips";"Ja";0;0;0;0;"Nov'20";"10 - 15 min";10624949;0
"4784";"Freetime activities";7;"By foot";"delreise 3.1";10752011;"2020-11-14";NA;"Student";NA;NA;NA;"Student, higher education";"Female";22;"18 - 24";0;4;4;"Several adults";"TRONDHEIM";"TROENDELAG";"Sat";"Weekend";5;394;"5-6 trips";"Nei";0;0;0;0;"Nov'20";"5 - 10 min";10752011;0
"4785";"Shopping/grocery/service";12;"Car, driver";"delreise 3.1";10863142;"2020-11-19";NA;"Student";NA;NA;NA;"Student, higher education";"Female";32;"25 - 34";0;4;4;"Several adults";"TRONDHEIM";"TROENDELAG";"Thu";"Weekday";7;41;"7+ trips";"Nei";0;0;0;0;"Nov'20";"10 - 15 min";10863142;1
"4786";"Shopping/grocery/service";25;"By foot";"delreise 3.1";11914687;"2021-01-19";NA;"Student";NA;NA;NA;"Student, higher education";"Female";20;"18 - 24";0;4;4;"Several adults";"TRONDHEIM";"TROENDELAG";"Tue";"Weekday";7;130;"7+ trips";"Nei";0;0;0;0;"Jan'21";"15 - 30 min";11914687;0
"4787";"Shopping/grocery/service";10;"Car, driver";"delreise 3.1";13027672;"2021-03-14";NA;"Student";NA;NA;NA;"Student, higher education";"Female";21;"18 - 24";0;1;1;"Single w/o children";"TRONDHEIM";"TROENDELAG";"Sun";"Weekend";5;75;"5-6 trips";"Ja";0;0;0;0;"Mar'21";"5 - 10 min";13027672;1
"4788";"Shopping/grocery/service";10;"By foot";"delreise 3.1";14077620;"2021-05-11";NA;"Student";NA;NA;NA;"Student, higher education";"Male";24;"18 - 24";0;1;1;"Single w/o children";"TRONDHEIM";"TROENDELAG";"Tue";"Weekday";6;94;"5-6 trips";"Nei";0;0;0;0;"May'21";"5 - 10 min";14077620;0
"4789";"School/university";5;"By foot";"delreise 3.1";14275506;"2021-05-25";NA;"Student";NA;NA;NA;"Student, higher education";"Female";21;"18 - 24";0;6;6;"Several adults";"TRONDHEIM";"TROENDELAG";"Tue";"Weekday";6;140;"5-6 trips";"Ja";1;0;0;1;"May'21";"< 5 min";14275506;0
"4790";"Freetime activities";25;"Car, passenger";"delreise 3.1";16729792;"2021-10-13";NA;"Student";NA;NA;NA;"Student, higher education";"Female";22;"18 - 24";0;4;4;"Several adults";"MALVIK";"TROENDELAG";"Tue";"Weekday";6;150;"5-6 trips";"Nei";0;0;0;0;"Oct'21";"15 - 30 min";16729792;0
"4791";"Undirected round trips";60;"By foot";"delreise 3.1";10598462;"2020-11-11";"Education and kindergarten";"Not student";NA;NA;"Standard Business Day";"Full-time";"Female";40;"35 - 44";4;3;9;"Couple w/ children 0-17 y/o";"MOLDE";"MOERE OG ROMSDAL";"Wed";"Weekday";8;184;"7+ trips";"Nei";0;0;0;0;"Nov'20";"30 - 60 min";10598462;0
"4792";"Shopping/grocery/service";3;"Car, driver";"delreise 3.1";10599835;"2020-12-10";"Education and kindergarten";"Not student";NA;NA;"Standard Business Day";"Full-time";"Female";51;"45 - 54";1;2;3;"Couple w/ children 0-17 y/o";"OERSTA";"MOERE OG ROMSDAL";"Thu";"Weekday";6;56;"5-6 trips";"Ja";0;0;0;0;"Dec'20";"< 5 min";10599835;1
"4793";"Pick up/drop off trip";5;"Car, driver";"delreise 3.1";10606820;"2020-11-11";"Office job, research, administration";"Not student";NA;"Work from home";"Standard Business Day";"Full-time";"Female";48;"45 - 54";1;2;3;"Couple w/ children 0-17 y/o";"OELESUND";"MOERE OG ROMSDAL";"Wed";"Weekday";8;113;"7+ trips";"Ja";1;0;1;0;"Nov'20";"< 5 min";10606820;1
"4794";"Undirected round trips";10;"By foot";"delreise 3.1";10610960;"2020-11-12";"Office job, research, administration";"Not student";NA;NA;"Standard Business Day";"Full-time";"Female";32;"25 - 34";1;2;3;"Couple w/ children 0-17 y/o";"MOLDE";"MOERE OG ROMSDAL";"Thu";"Weekday";4;35;"3-4 trips";"Nei";0;0;0;0;"Nov'20";"5 - 10 min";10610960;0
"4795";"Freetime activities";25;"Car, driver";"delreise 3.1";10624211;"2020-11-12";"Office job, research, administration";"Not student";NA;NA;"Standard Business Day";"Full-time";"Female";51;"45 - 54";2;2;4;"Couple w/ children 0-17 y/o";"MOLDE";"MOERE OG ROMSDAL";"Thu";"Weekday";8;83;"7+ trips";"Nei";0;0;0;0;"Nov'20";"15 - 30 min";10624211;1
"4796";"Shopping/grocery/service";4;"Car, driver";"delreise 3.1";10638511;"2020-11-12";"Office job, research, administration";"Not student";NA;NA;"Standard Business Day";"Full-time";"Female";45;"45 - 54";1;3;4;"Couple w/ children 0-17 y/o";"AUKRA";"MOERE OG ROMSDAL";"Thu";"Weekday";7;30;"7+ trips";"Ja";0;0;0;0;"Nov'20";"< 5 min";10638511;1
"4797";"Shopping/grocery/service";2;"Car, passenger";"delreise 3.1";10723550;"2020-11-14";"Education and kindergarten";"Not student";NA;NA;"Standard Business Day";"Full-time";"Female";24;"18 - 24";0;2;2;"Couple w/o children";"OELESUND";"MOERE OG ROMSDAL";"Sat";"Weekend";7;50;"7+ trips";"Nei";0;0;0;0;"Nov'20";"< 5 min";10723550;0
"4798";"Freetime activities";5;"Car, driver";"delreise 3.1";10755469;"2020-11-15";"Other";"Not student";NA;NA;"Standard Business Day";"Full-time";"Male";53;"45 - 54";1;3;4;"Couple w/ children 0-17 y/o";"OELESUND";"MOERE OG ROMSDAL";"Sun";"Weekend";5;210;"5-6 trips";"Ja";0;0;0;0;"Nov'20";"< 5 min";10755469;1
"4799";"To/from workplace";7;"Car, driver";"delreise 3.1";10755729;"2020-11-15";"Office job, research, administration";"Not student";NA;NA;"Flextime";"Full-time";"Female";56;"55 - 66";0;3;3;"Several adults";"MOLDE";"MOERE OG ROMSDAL";"Sun";"Weekend";7;94;"7+ trips";"Nei";0;0;0;0;"Nov'20";"5 - 10 min";10755729;1
